"georeg_agg","truedate","mean_pai","se_pai","mean_pai_toc","se_pai_toc","mean_pai_us","se_pai_us","mean_modis_lai","se_modis_lai","mean_meanpavd","se_meanpavd","mean_sdvfp","se_sdvfp","mean_nirv","se_nirv","mean_fpar","se_fpar","mean_apar","se_apar","mean_sif743","se_sif743","mean_sif743_cor","se_sif743_cor","mean_sif_par","se_sif_par","mean_sifs_par","se_sifs_par","mean_sif_parm","se_sif_parm","mean_sifs_parm","se_sifs_parm","mean_sif_apar","se_sif_apar","mean_phif","se_phif","mean_phifm","se_phifm","mean_fesc","se_fesc","mean_pri_nar","se_pri_nar","mean_cci","se_cci","mean_sif_rel_tropo","se_sif_rel_tropo","mean_ndvi_tropo","se_ndvi_tropo","mean_nirv_tropo_refl","se_nirv_tropo_refl","mean_nirv_tropo_rad","se_nirv_tropo_rad","mean_phifm_tropo_rad","se_phifm_tropo_rad","mean_phifm_tropo_refl","se_phifm_tropo_refl","mean_phif_tropo_refl","se_phif_tropo_refl","mean_fesc_tropo_rad","se_fesc_tropo_rad","mean_fesc_tropo_refl","se_fesc_tropo_refl","mean_sif_fesc_mod","se_sif_fesc_mod","mean_sif_fesc_tr","se_sif_fesc_tr","mean_iprec","se_iprec","mean_vpd","se_vpd","doymin","nsif","npai","nsifparm","year"
"Southern",2020-04-06,3.67497918605804,0.0693902107364343,1.18830747205019,0.0429279736733326,2.24912698984146,0.0397345031742618,5.56699098435703,0.00546711865017465,0.027482249379158,0.000468794093662535,0.0542971675246954,0.000942115349331126,0.267542684759427,0.000146715755747801,0.86747038500939,0.000279943743423585,167952.646382134,186.744768939511,1.42303680202292,0.00180649980389102,0.489602282477155,0.000627172531981333,3.03147294363257e-06,5.30908813432448e-09,8.80445067860005e-06,1.52825749826648e-08,7.08790040182228e-07,9.98744203203096e-10,2.05968885700734e-06,2.87481192553179e-09,2.85624168788086e-06,6.60918632831911e-09,9.77224698936949e-06,1.8088739582254e-08,2.46864307532128e-06,3.87416175361412e-09,0.303679074353111,0.000167190128175002,-0.0876550519456558,4.48827755633071e-05,0.155284667414405,0.000275692528192291,0.00512146461207797,6.0494353084339e-06,0.534401701987942,0.000541641336308829,0.16215321985062,0.000150389327089891,50.1930183835042,0.0418392695388643,1.44018120015514e-08,2.17081829774125e-11,4.5264998323995e-06,7.40376180732258e-09,1.95233739481643e-05,3.91617862823574e-08,59.0827363533269,0.061173179413779,0.195799670921338,0.000223848877677676,1.51092417917333,0.00255800624533938,2.40076000317118,0.00454076293790741,129.897051128926,0.317799611785556,2.53288764375169,0.00128015099856812,97,60829,125,60829,"2020"
"Southern",2020-04-22,3.84494698338392,0.0513178948371621,1.20980929135065,0.0393051881415038,2.3923710919008,0.0310974414458315,5.29920441011816,0.0050948149372412,0.0304931917992549,0.000431574113633722,0.0602373287566309,0.000870996907518875,0.260546352688838,0.000132679308549952,0.856880330995504,0.00026405569377604,160259.012851387,113.340036351352,1.28975835051439,0.00159229904715893,0.443212127035885,0.000550075726086495,2.57513353568717e-06,3.80049368655583e-09,7.48951161304848e-06,1.09628805962266e-08,6.1867800331773e-07,8.32471245705819e-10,1.80002354784689e-06,2.40640965731194e-09,2.75395530739613e-06,5.31855894371011e-09,9.39250604199314e-06,1.42594548730951e-08,2.30281785247262e-06,3.24415253980787e-09,0.299851220774907,0.000164593238736298,-0.0881205744964026,4.00693342964484e-05,0.150224320430679,0.000262341683348631,0.0048678837860692,5.74355101500157e-06,0.501824036318197,0.000410464958831212,0.151931195833385,0.0001272888385085,45.3543155074905,0.0353610180953358,1.38182188908333e-08,1.93489967853548e-11,4.15372730734372e-06,6.05460238004959e-09,1.73240679374879e-05,2.73283715589523e-08,52.7801232775921,0.0522646172081691,0.179301430964596,0.00018898863873898,1.43236473017868,0.00239805046811844,2.44685393550328,0.00426082345466315,83.1798646264046,0.22124417035634,2.51972843391982,0.00117148634201958,113,61848,123,61848,"2020"
"Southern",2020-05-08,3.8707489360719,0.0645396284164328,1.30627024616804,0.0400925268632005,2.34172544227197,0.0368003370608906,5.24037855743116,0.00433886672619144,0.0282024868306588,0.000410324262376842,0.0555426285949332,0.000822963127276747,0.253535853603688,0.000115082633202144,0.86201925519972,0.000224720512808723,153418.655857717,99.4494221950154,1.26920001888086,0.00151423251442134,0.434136959151159,0.000523410225779489,2.5209907947646e-06,3.38570363964823e-09,7.36488592890232e-06,9.73464163689592e-09,6.13871330028589e-07,7.71963615446876e-10,1.79522043037285e-06,2.24377996353207e-09,2.82526889826155e-06,4.36546186251594e-09,9.72472569712664e-06,1.25116127676766e-08,2.40335305186087e-06,2.95606905422144e-09,0.291474079048154,0.000125758041719642,-0.0866519565157164,3.61720384636141e-05,0.15039432372349,0.000244453549489338,0.00520305089496273,6.15434767995951e-06,0.540158676037474,0.000488344867544806,0.158184007526182,0.000131551563728422,44.5938535413937,0.0333759952100692,1.39323489186382e-08,1.79797262689752e-11,3.9623912956078e-06,5.44167685723608e-09,1.64373267934173e-05,2.58066254092802e-08,51.8102403703464,0.0426953985175719,0.185972770029132,0.000170902491058823,1.46254263219986,0.00200927685236703,2.34119397671027,0.00360519142119588,64.6436137889842,0.223475320876806,2.70530941261289,0.00152481111552144,129,63014,169,63014,"2020"
"Southern",2020-05-24,3.92253620142541,0.0427493543067403,1.24991265087244,0.0291544327305856,2.4315432189604,0.0242935192283918,5.33036647546825,0.00344596681356298,0.0297358495079062,0.000280218072967721,0.0585515772863308,0.00056691563645663,0.248565559399014,0.000114254198559476,0.868489747921863,0.000203941431113666,167906.63877659,82.4870568410187,1.24547101286235,0.00154187222175168,0.423686365936632,0.000532038891562084,2.26336806664077e-06,3.23110674143718e-09,6.64773856678751e-06,9.31238496015133e-09,5.88533491430719e-07,7.84832204888858e-10,1.73027742785658e-06,2.28498760700699e-09,2.53273965932505e-06,4.19459745130125e-09,8.94001712874115e-06,1.16775745686387e-08,2.3447803755064e-06,2.93515107575369e-09,0.28441307383846,0.000126246535253748,-0.0897077350515706,3.6512496600194e-05,0.141627022517039,0.000259189973551302,0.00527291485172574,6.11782326296974e-06,0.55417330625437,0.000454843732656819,0.159866330575311,0.000125484522607293,43.9690162056068,0.0310856389475003,1.34326291503636e-08,1.72965807766822e-11,3.72262826867985e-06,5.04891210030231e-09,1.43678898886726e-05,2.13585411589964e-08,50.87265809829,0.0385527442848903,0.186358200254871,0.000155017105322202,1.46103861981621,0.00197278481545736,2.26958539518833,0.00338349091399777,39.8749372525518,0.1677354218203,2.868396365474,0.00175101234650191,145,57936,277,57936,"2020"
"Southern",2020-06-09,4.02621792247029,0.0276733015774959,1.40857202305664,0.0194083989362161,2.41676313763386,0.0145269058578376,5.42639458849366,0.00340427630128595,0.0298073320277342,0.000169610534357573,0.0587258192321506,0.000344099395303555,0.246253737302785,0.000117254810855876,0.872108717156116,0.000203492384207565,179154.43560455,100.299787857428,1.25571235344941,0.0014592945579531,0.422834025358391,0.000499987612773256,2.15327006435273e-06,3.45975268780708e-09,6.38521462422002e-06,9.99407848162166e-09,5.34123837481268e-07,7.13531346141282e-10,1.58693124463952e-06,2.10757649984755e-09,2.40490222095548e-06,3.94859385625986e-09,8.56004604267098e-06,1.19743499175798e-08,2.11856201089726e-06,2.42648747052611e-09,0.280676394022095,0.000110137315557802,-0.0889995586970819,3.19738943193975e-05,0.136400039056255,0.000290350154622962,0.0052680760271126,5.56684062682454e-06,0.534870271690874,0.000379455272356323,0.15556255584231,0.000113377749229639,42.5969236406666,0.0315607413915092,1.26966050322842e-08,1.81700110132229e-11,3.48105508197398e-06,5.05867325629821e-09,1.39701184085535e-05,2.31381772066907e-08,48.9214947837812,0.0344183942789378,0.17878718024306,0.00012208030985024,1.48520194061744,0.00166614145160001,2.35577037752491,0.00280646971161217,14.0654896958534,0.1200997451006,2.82991620459135,0.00137516314233366,161,57976,608,57976,"2020"
"Southern",2020-06-25,3.91964099105118,0.0331637917224379,1.29157328780301,0.0245157492243653,2.40811769701456,0.0177618046441501,5.34360092952648,0.00451747973705445,0.0300972961974827,0.00022087355761819,0.0591846597349258,0.000449504319323698,0.243387083238321,0.000143288659489314,0.863050474214955,0.000294434229272837,174129.175403307,122.136113082,1.22877043358733,0.00153771158263179,0.411478415963584,0.000523961060601486,2.11320888740312e-06,3.02145738849819e-09,6.30798749655023e-06,8.83229613719156e-09,5.49646882986297e-07,8.18794616974422e-10,1.64263236719899e-06,2.43326285462919e-09,2.37594123294478e-06,3.52087919395792e-09,8.51363315970152e-06,1.10540728894966e-08,2.18094796870488e-06,2.9408961341893e-09,0.279352667914429,0.000119176660995606,-0.0896034399422154,4.11950724481253e-05,0.120016485335009,0.000359246682793612,0.00511561278830399,5.87669484047378e-06,0.54527174980069,0.000421093712449224,0.157060127784772,0.000121906782625948,43.4409888278157,0.0342223984388542,1.28839097770677e-08,2.11648115152693e-11,3.55664756307301e-06,5.72379066958945e-09,1.3608097406717e-05,1.97886709031873e-08,50.4578562134228,0.0358431223393687,0.182666811833448,0.000128310121826892,1.45285745706876,0.00185260258730693,2.24726776317744,0.00304561583731847,19.3502562216254,0.129034921501783,2.99568076265311,0.00155595440669437,177,56477,441,56477,"2020"
"Southern",2020-07-11,3.83449866032484,0.0345336070113548,1.23108960041667,0.0234575522643464,2.39121461658209,0.0180258185919724,5.40182082408249,0.00440296222891864,0.030221342768374,0.000199470637696108,0.0598286343263645,0.000396382664821255,0.244207840945545,0.000147237516243086,0.861616803163136,0.000314874469020146,188208.835948262,85.8171784626109,1.27997271228529,0.00150458305550039,0.428683603139336,0.000511769284041507,1.97175742194988e-06,2.41185236258768e-09,5.88651868741989e-06,7.07151130331797e-09,5.16233208293529e-07,6.61493833307735e-10,1.54217185509105e-06,1.9623164688568e-09,2.25695457957542e-06,2.62432333637206e-09,7.98717429682012e-06,8.23104055493011e-09,2.08294021452043e-06,2.27656033024265e-09,0.281607166257967,0.000110482591077356,-0.0897618505096404,4.06069401848897e-05,0.109903397362708,0.000356533547193825,0.00530392771309204,5.60383628592271e-06,0.583917396638801,0.000408067753378879,0.166816312724255,0.000130181400640375,46.8280873223587,0.0379361244802564,1.11400753776619e-08,1.48294409591563e-11,3.1185112800558e-06,4.06262417292324e-09,1.18422480193661e-05,1.33967877817564e-08,54.2265154209251,0.0358244781512461,0.193381407998329,0.000120658907757805,1.50437258663876,0.00165309411802212,2.20311100524719,0.00248980614195257,12.7419422128538,0.0777550942747097,3.02288839632955,0.00148942792280672,193,62098,510,62098,"2020"
"Southern",2020-07-27,3.87906189835989,0.0304763650567209,1.30659852697239,0.0231583886044986,2.37279321699731,0.0145464553144751,5.43427001897586,0.00448954327525141,0.0299403086617619,0.000162643630855761,0.05916262033814,0.000331760743236827,0.242402493203547,0.00016044079969118,0.856921082324598,0.000351229600027152,208893.560627018,112.511990130571,1.29490952738509,0.00155655037289756,0.436830535461333,0.000527550598641167,1.80187391477127e-06,2.25891758338666e-09,5.34082469999889e-06,6.65635849888515e-09,4.77654341502545e-07,5.89303585078036e-10,1.41597722967501e-06,1.73940407618695e-09,2.0764127579407e-06,2.41007700409144e-09,7.34062130608523e-06,7.58458091686027e-09,1.9421256456981e-06,1.98197520918475e-09,0.281392077211497,0.00011444662675463,-0.0889092503101153,4.48274970043998e-05,0.0896787044327002,0.000381828048216756,0.0052706168404935,5.67629278457864e-06,0.598635211747856,0.000418266993372996,0.169960048354637,0.000140493361767111,49.2573210641251,0.0417323931107204,9.71831875895521e-09,1.16588038354185e-11,2.81229714724477e-06,3.36106862561783e-09,1.05340373629471e-05,1.10795806410056e-08,57.196562513098,0.0376241069493798,0.197537770020756,0.000124843516317137,1.53488334585302,0.00165998964775963,2.19393124905444,0.00240041427578102,2.32659993999581,0.0382211110203919,2.96064974059042,0.00151721545219912,209,64827,494,64827,"2020"
"Southern",2020-08-12,3.72574967006316,0.0303992530436677,1.20458543950089,0.020503758359788,2.32736007869244,0.017043388498768,5.61251974960582,0.0047680200254352,0.0297249528643905,0.000204538250374592,0.0587912886299178,0.000415059404476504,0.246063255205895,0.000177922782127026,0.854604604669849,0.000367148525124927,204415.663541269,106.682654387187,1.23486246087422,0.00161816921604751,0.422465168370317,0.000556679137867146,1.76602994626176e-06,2.33317230961438e-09,5.16156507681979e-06,6.77533937282152e-09,4.9858106911951e-07,7.68499766255389e-10,1.45668883891479e-06,2.2215505252877e-09,2.03843511100875e-06,2.56357775282896e-09,7.07514771870074e-06,8.09567455985672e-09,1.99621047321919e-06,2.88251118301565e-09,0.286042197672612,0.000137431768998288,-0.0844999784634346,5.51595111301274e-05,0.0807755916766549,0.00040583460602223,0.004800609050657,5.8296156012508e-06,0.55819359376848,0.000395032006178961,0.161617989622924,0.00014119416603495,48.8770330837426,0.0424619726666861,1.0193616708913e-08,1.4665705930761e-11,3.07463844832806e-06,4.26643211711178e-09,1.08563685485361e-05,1.20062181823163e-08,56.7454798447476,0.0397220988866221,0.187881374526983,0.000131142743582078,1.45265199242443,0.00178291087104146,2.21733047482601,0.00261318329468729,21.5357374177378,0.134016590304996,2.96420444061962,0.00151354183168877,225,60728,491,60728,"2020"
"Southern",2020-08-28,3.90179261274262,0.029041661508241,1.28390661153284,0.0248315419940376,2.42923999744858,0.0139755552450683,5.78782627768505,0.00450621902572594,0.0310147259345077,0.000193624489592281,0.0612233692981637,0.000403094506073797,0.250118576719641,0.000179712623343474,0.856576696514634,0.000342566739781011,200444.710329244,109.760257747034,1.16502332931269,0.00164511606247802,0.403785895648256,0.000572087980461401,1.74102340407782e-06,2.61164409428224e-09,5.02393676812424e-06,7.52061613113084e-09,4.46564151812057e-07,6.5132063208458e-10,1.2883820479507e-06,1.87197522405662e-09,1.99899856016358e-06,2.96555676597313e-09,6.86445145792374e-06,8.92122597949066e-09,1.76216900686737e-06,2.28993530529127e-09,0.289693581649139,0.000150674281488368,-0.078268072673333,5.63907505017007e-05,0.0865769228630997,0.000408637371698033,0.00447425795496133,5.65674911338611e-06,0.543309042132998,0.000386143385932111,0.156097606796112,0.000138389275992631,48.7433734484578,0.0428227784988878,9.15722524906544e-09,1.20756955436036e-11,2.8604174450522e-06,3.76717392090409e-09,1.11205422180229e-05,1.45214195361545e-08,56.4290112614917,0.0428051978556966,0.180904777747411,0.00013851187232593,1.36602885725848,0.00182243025133457,2.19880048931617,0.00286992844725686,20.4980465337199,0.0920170964347396,2.76032283222944,0.0015964978656707,241,56282,379,56282,"2020"
