"georeg_agg","doymin","mean_pai","median_pai","sd_pai","se_pai","mean_tocpai","median_tocpai","sd_tocpai","se_tocpai","mean_uspai","median_uspai","sd_uspai","se_uspai","n_used"
"CA","1",3.94908486507963,4.20441102981568,1.472370738071,0.00359371446984047,1.3734694194616,1.34701347351074,0.970331606722577,0.00236835373418995,2.57523342653539,2.62445542216301,1.03405704369428,0.00252389270207393,167860
"CA","17",3.91697891667401,4.14331126213074,1.36373605921649,0.00353477471689556,1.29272375342991,1.24412727355957,0.92992797909074,0.00241035344545502,2.62320218486689,2.6563411951065,0.969291746779219,0.00251238348993953,148846
"CA","33",4.01674297797423,4.27275538444519,1.40815056564758,0.0028504604963258,1.37876694034305,1.37730914354324,0.913079492590023,0.00184830875840051,2.63630946783259,2.67877089977264,0.981141502803941,0.00198608384875534,244044
"CA","49",3.92621995559928,4.15200233459473,1.32622449307809,0.00401924964987902,1.32135594624055,1.29718971252441,0.889965452209287,0.00269712507261468,2.60437495590168,2.63975250720978,0.947307744841539,0.00287090635232135,108879
"CA","65",4.01450659038659,4.24698972702026,1.3810252498902,0.00296035119555085,1.39839971652898,1.38552117347717,0.921765408206474,0.00197588663090585,2.61538740802979,2.64315271377563,0.975823472951951,0.00209176492973577,217629
"CA","81",3.77485764766039,3.99556946754456,1.32749697701014,0.00384717093142834,1.15254687755369,1.06340706348419,0.895825906255044,0.00259616062849877,2.62117552511908,2.65319955348969,0.97285042811959,0.00281938260689593,119065
"CA","97",4.04237807452978,4.27243852615356,1.39880669785238,0.0025877882990899,1.50486031023434,1.52932953834534,0.96477503889387,0.00178483099969187,2.5368789431479,2.55737590789795,0.948810283920181,0.00175529624969233,292185
"CA","113",3.93649429377418,4.18077754974365,1.41339266881682,0.00237168455204964,1.34140228388817,1.32327497005463,0.921979624689168,0.00154708941218035,2.59466807541373,2.63752388954163,0.983023243600657,0.00164952110803368,355150
"CA","129",4.0196183361184,4.2877197265625,1.5026380780756,0.00232636897177644,1.52522259903398,1.55865895748138,0.964124694098306,0.00149264803414685,2.49332725877407,2.53664737939835,0.983619257675077,0.00152282931897187,417207
"CA","145",3.93379140432272,4.18314099311829,1.42409942081078,0.00198304459457601,1.34911116917077,1.3267982006073,0.927636844856985,0.0012917252854972,2.5830583733542,2.62804782390594,0.981828126812529,0.00136718611862772,515722
"CA","161",4.07026631294364,4.3276309967041,1.49095690106492,0.00170369152452909,1.52337492053851,1.55004644393921,0.943115800379908,0.00107768265776769,2.54470507090057,2.57954078912735,0.99668105869401,0.00113889078292125,765858
"CA","177",4.10937864758439,4.34572839736938,1.4592700047882,0.00179078496877045,1.57047545107095,1.59631013870239,0.9486224425147,0.00116412919166401,2.53731273852608,2.5676167011261,0.95523914770265,0.00117224907088752,664025
"CA","193",4.15202019096757,4.38517928123474,1.4454120992467,0.00169909554222676,1.58840270191543,1.61900317668915,0.938837884522318,0.00110361277956427,2.56116103801975,2.58659064769745,0.954842738098996,0.00112242663575123,723682
"CA","209",4.23023083526047,4.44609832763672,1.37580137052951,0.00153885550641566,1.68472727796424,1.73760080337524,0.930929927078314,0.00104125978870063,2.54400394068691,2.55124878883362,0.906725377000425,0.0010141866181358,799311
"CA","225",4.16949750811627,4.39846229553223,1.36983213250218,0.00147243479367393,1.56676249116966,1.60281026363373,0.913527245080482,0.000981951925867416,2.60137258237013,2.62062454223633,0.933755589954832,0.00100369540676899,865491
"CA","241",4.13548531397031,4.34066700935364,1.35090591462819,0.00154521195446381,1.57502322591482,1.61327081918716,0.930289280226213,0.0010640963973503,2.56038834787751,2.56816685199738,0.910863969427839,0.00104187706872068,764318
"CA","257",4.08017044482891,4.27971458435059,1.27516431450284,0.00171252343444739,1.47109021059947,1.48122549057007,0.90098472824943,0.00121000677611335,2.6084208029317,2.6172584593296,0.891953335150702,0.00119787777269679,554446
"CA","273",4.05818288070883,4.27982449531555,1.3711846480826,0.00180765812214646,1.49163971271404,1.51425421237946,0.94598576819988,0.00124711056217898,2.56398470765908,2.57938557863235,0.925965532086582,0.00122071751404494,575386
"CA","289",3.81560290906663,4.05898427963257,1.37978025398101,0.00241898877183252,1.19093678378938,1.12870395183563,0.897848724963336,0.00157408107430442,2.62042092608892,2.6669282913208,0.995652237798121,0.00174554721806935,325351
"CA","305",4.02058274088212,4.2386155128479,1.35655282334068,0.00220934304753048,1.42891336628038,1.43109834194183,0.952415953513873,0.00155114753295865,2.59042739737566,2.60647976398468,0.947927247809131,0.00154383702460943,377005
"CA","321",3.85611713186594,4.10490036010742,1.42219395112391,0.00284668895692699,1.20727345168702,1.12952011823654,0.909098806379468,0.0018196684993849,2.64702786329277,2.70345055311918,1.02596797269153,0.00205359592178948,249596
"CA","337",3.74932309685916,3.96496832370758,1.34911215664673,0.00351029088694571,1.10368129651734,0.98240664601326,0.899782300378973,0.00234116755504296,2.64358304859763,2.6820279955864,0.986259217688504,0.00256617415161631,147710
"CA","353",3.92441817893432,4.1576223373413,1.40906346632693,0.00437424412246287,1.36082135427953,1.33311057090759,0.963656833190935,0.00299154036662718,2.56208442746501,2.58628559112549,0.969972652951012,0.00301114696215979,103766
"NOA","1",3.92810374958074,4.22119736671448,1.53654960387374,0.00278043976280276,1.46179503470071,1.40906363725662,1.0120275156253,0.0018312988649381,2.46583133121025,2.50745779275894,1.06489618269462,0.00192696655035179,305398
