"region","truedate","mean_ndvi","se_ndvi","mean_cci","se_cci","mean_pri","se_pri","mean_cire","se_cire","mean_car","se_car","mean_chlcar","se_chlcar","doy","n_per_date"
"all","20240305",0.722730817245025,0.000216661844745671,0.12693931947694,0.00012586053708878,-0.019815142648733,4.89596406568915e-05,2.28957318084406,0.00149934132996313,3.26733639820075,0.00554049026833252,0.9700376188851,0.00213576845561411,65,112911
"all","20240313",0.724375752923139,0.000254420085214583,0.119721747667692,0.000147923228970225,-0.0227621680269379,6.43569381340748e-05,2.25080369040989,0.00172018162244744,3.4781759505874,0.00735770241931802,0.887719210451598,0.00241480269253231,73,70795
"all","20240321",0.696624136951152,0.000421111228733194,0.117293772453669,0.000202247732111333,-0.0172099105418744,9.69720937575914e-05,2.09428894628969,0.00265143020297663,2.81939084066737,0.0100335117173821,1.2260317043418,0.00567950516296331,81,36258
"all","20240329",0.723333746697987,0.000301012886282773,0.115215797680204,0.000165421843393672,-0.0264571295827339,7.34873388095367e-05,2.22024459207541,0.0019931361435145,3.76231539719652,0.00893386700375902,0.805408038100409,0.00226934197869991,89,59173
"all","20240406",0.705668645252326,0.000178911060621683,0.116792927226319,9.09221392231651e-05,-0.019106038954538,3.77254560848814e-05,2.12681071831024,0.00114288232489806,2.8517094741587,0.003993653417831,1.00348864418839,0.00183468832747934,97,150823
"all","20240414",0.726811519420477,0.000204529507950354,0.12435389642958,0.000117272864337556,-0.0216975498061353,4.71192235596413e-05,2.2604444404855,0.0014248216098792,3.36902458580702,0.0050788183905205,0.881027883962474,0.00189215631780704,105,108878
"all","20240422",0.734057993015058,0.000152920066595882,0.123017431815723,9.22482292578715e-05,-0.0277774485266149,3.19747753306157e-05,2.24798783230257,0.00102953638339057,3.77621821439572,0.00383558234205575,0.70710509205992,0.000913944047370554,113,171338
"all","20240430",0.745575072618868,0.000129069013831757,0.130001291964242,8.82039261792556e-05,-0.0289932107510164,3.33447326043784e-05,2.29352952272474,0.000920066455425243,4.04857477755083,0.00383959983236783,0.670132493449926,0.000848273571496037,121,183632
"all","20240508",0.738808016217823,0.000130530313250175,0.121103126081811,8.59052269417924e-05,-0.0309223105967016,3.48421555916934e-05,2.23196220387989,0.000904044942292335,4.06818457395822,0.00408578234420907,0.649342876721964,0.000739441986192213,129,189989
"all","20240516",0.749702071463544,0.000128560975998644,0.130727812213389,0.000102248723452965,-0.0314311386941097,4.02370303907559e-05,2.27989867479721,0.000910684073314472,4.33229039238088,0.00429798646836651,0.629979989377967,0.000804728784079501,137,184031
