"year","georeg_agg","doymin","mean_pai","median_pai","sd_pai","se_pai","mean_tocpai","median_tocpai","sd_tocpai","se_tocpai","mean_uspai","median_uspai","sd_uspai","se_uspai","n_used"
2019,"CA","97",4.01475517921368,4.22803640365601,1.46050230879929,0.00794044478700338,1.40654762405517,1.37315595149994,0.948311348015097,0.0051557699391747,2.60800464521711,2.66160497069359,0.971896326537162,0.00528399652165171,33831
2019,"CA","113",3.98723672969729,4.20936632156372,1.40537709792562,0.00384571795358306,1.38314257053071,1.37029284238816,0.947268202424334,0.00259213440883495,2.60382605509322,2.63233053684235,0.962603216255381,0.00263409762148126,133546
2019,"CA","129",4.07016643282741,4.30486345291138,1.47137367736266,0.00436540216307534,1.50771634009441,1.54074859619141,0.974455708375314,0.00289110177965636,2.56182838753918,2.58854377269745,0.974780273200312,0.00289206472741797,113605
2019,"CA","145",4.04048015923736,4.25457620620728,1.40167408000861,0.00325506290104572,1.42645215283386,1.41808265447616,0.950660841592154,0.00220768927747063,2.61257677694916,2.64082685112953,0.94417398340281,0.00219262505409828,185428
2019,"CA","161",4.18400103731619,4.40433073043824,1.47072907834725,0.00276855168402929,1.62537251854904,1.65867781639099,0.960271095320564,0.0018076477831403,2.5579118054743,2.5828622430563,0.964819155704815,0.00181620921054476,282202
2019,"CA","177",4.2507950232222,4.47577428817749,1.50016892816051,0.00301486835910138,1.7003078970831,1.74966663122177,0.967419331308572,0.00194420900019678,2.55004358488349,2.5755854845047,0.95762480997651,0.00192452508867037,247596
2019,"CA","193",4.13279394752858,4.36954593658447,1.48446211320758,0.00280196438207286,1.60645979582876,1.63078689575195,0.957149105590082,0.00180664610995113,2.52628847820293,2.56328296661377,0.958127690212251,0.00180849321620718,280681
2019,"CA","209",4.26643244088664,4.46942043304444,1.42310809750016,0.00280054755340986,1.72305406338922,1.77508616447449,0.965033135287499,0.00189909760947625,2.54311509015468,2.55204367637634,0.921711299388148,0.0018138441689609,258220
2019,"CA","225",4.31890994595392,4.51718902587891,1.33727908756212,0.00318333921152702,1.68079946057224,1.7226254940033,0.898686491165729,0.00213928713370732,2.63733948476093,2.64651966094971,0.914592639408216,0.00217715108138707,176473
2019,"CA","241",4.04845530781853,4.24454927444458,1.38707307918179,0.00241853781239984,1.49527053320203,1.49973648786545,0.968082808316286,0.00168797514174832,2.55317891913296,2.56388688087463,0.929780978447625,0.00162119104420379,328922
2019,"CA","257",4.17733919886568,4.36899709701538,1.30272996769982,0.00289895235120267,1.59122783460851,1.62530040740966,0.91338548414761,0.00203254785141645,2.58551749068697,2.5858423113823,0.8888997279609,0.00197805993586342,201942
2019,"CA","273",3.99192266328233,4.21869397163391,1.40895908519271,0.00317296110287773,1.39070672549677,1.38520705699921,0.926378132652909,0.00208619385215303,2.59865163645337,2.63619020581246,0.954926823169024,0.00215048520418568,197182
2019,"CA","289",3.90000233765341,4.10042762756348,1.29687587453983,0.00385587506905267,1.25187476508558,1.21239602565765,0.884988397704771,0.00263125004181414,2.64111762277124,2.67225497961044,0.933518293496015,0.00277553926714311,113123
2019,"CA","305",4.03813767975654,4.25404977798462,1.35695346268018,0.00328723050438595,1.42259733954323,1.4157452583313,0.956536606802231,0.00231721750149896,2.6142849808756,2.63301569223404,0.954378446168651,0.00231198934028107,170400
2019,"CA","321",3.92219444350067,4.19909763336182,1.50500195183836,0.00381196434577434,1.31523739678457,1.27432644367218,0.943217748001496,0.00238904170276414,2.6058354757085,2.66204953193665,1.06080957115716,0.00268688572660508,155875
2019,"NOA","97",3.7553846440555,3.97281062602997,1.33493255039755,0.0124896487746978,1.20357989027888,1.05354523658752,0.968252415849816,0.00905898398807899,2.55142476477881,2.5873447060585,1.00355645115552,0.00938928906691348,11424
2019,"NOA","113",4.02481783371462,4.25367879867554,1.41239678154517,0.00394596600057109,1.50940946863437,1.45594191551208,1.0231188289424,0.00285839798440642,2.51496539418142,2.52912890911102,0.997397354093428,0.00278653711176442,128117
2019,"NOA","129",3.90207632559528,4.15248584747314,1.41885186736245,0.00413220629862245,1.44377124017,1.38351213932037,1.01752417101802,0.00296339588733624,2.45638936521111,2.45927381515503,1.0049327859238,0.00292672525103407,117899
2019,"NOA","145",3.98800355943253,4.23359799385071,1.4433264413376,0.00389066457866949,1.44308504598722,1.39788508415222,0.999242334329288,0.00269358105300077,2.54394350489012,2.56834524869918,1.00409192074889,0.00270665371180029,137620
2019,"NOA","161",3.84707414805765,4.08995914459229,1.46383712787334,0.00536150125015916,1.26715786019606,1.13236379623413,0.993899809214545,0.00364029233045782,2.57908220000214,2.59928941726685,1.09438424211939,0.00400833014175691,74544
2019,"NOA","177",4.11806756917148,4.3643639087677,1.4676892521377,0.00326393416644218,1.65476410239195,1.65652287006378,1.02192012346284,0.00227260641275871,2.46289463807596,2.46755468845367,0.996515705987987,0.00221611056661556,202202
