"year","doy","region","vza","mean","sd","se","date"
"2019","1","whole_amz","sif743_cor_vza25",0.494748689845339,0.209471414466514,0.000543120603339582,2019-01-01
"2019","1","whole_amz","sif743_cor_vza35",0.50209675960441,0.209914758017271,0.00050270801129162,2019-01-01
"2019","1","whole_amz","sif743_cor_vza45",0.503120212694995,0.204635348752144,0.000467578265434867,2019-01-01
"2019","17","whole_amz","sif743_cor_vza25",0.495627386315523,0.205878195496507,0.000526996188326862,2019-01-17
"2019","17","whole_amz","sif743_cor_vza35",0.503049719973998,0.200435035637914,0.000473798002381885,2019-01-17
"2019","17","whole_amz","sif743_cor_vza45",0.500682801491365,0.19246054259717,0.000436882592579381,2019-01-17
"2019","33","whole_amz","sif743_cor_vza25",0.507718557645212,0.207017179028689,0.000555291285870373,2019-02-02
"2019","33","whole_amz","sif743_cor_vza35",0.505786466354118,0.202613955675601,0.000500124369368984,2019-02-02
"2019","33","whole_amz","sif743_cor_vza45",0.501820172509341,0.19435844603517,0.000454329308449429,2019-02-02
"2019","49","whole_amz","sif743_cor_vza25",0.454390510953999,0.20350716102863,0.000521022536826719,2019-02-18
"2019","49","whole_amz","sif743_cor_vza35",0.456492526012424,0.20109223019271,0.000475068881900021,2019-02-18
"2019","49","whole_amz","sif743_cor_vza45",0.45368284221213,0.193315873903618,0.00043777761624622,2019-02-18
"2019","65","whole_amz","sif743_cor_vza25",0.466276624130133,0.210515476940185,0.000535108737129501,2019-03-06
"2019","65","whole_amz","sif743_cor_vza35",0.462726150570831,0.201394124619629,0.00047469577845891,2019-03-06
"2019","65","whole_amz","sif743_cor_vza45",0.462231004430158,0.191832066293915,0.000433187348255813,2019-03-06
"2019","81","whole_amz","sif743_cor_vza25",0.435714546955927,0.187273428895204,0.000495001226837561,2019-03-22
"2019","81","whole_amz","sif743_cor_vza35",0.447230132517056,0.188095155385688,0.000458905189655224,2019-03-22
"2019","81","whole_amz","sif743_cor_vza45",0.450003005467385,0.183930119529943,0.000427040623337195,2019-03-22
"2019","97","whole_amz","sif743_cor_vza25",0.39862705828129,0.173623599326021,0.000434149907969992,2019-04-07
"2019","97","whole_amz","sif743_cor_vza35",0.400549999522054,0.169413235364707,0.000394990650955032,2019-04-07
"2019","97","whole_amz","sif743_cor_vza45",0.408096312081357,0.164919156058103,0.00037055245403632,2019-04-07
"2019","113","whole_amz","sif743_cor_vza25",0.419677372430259,0.163708076928271,0.000388880522327618,2019-04-23
"2019","113","whole_amz","sif743_cor_vza35",0.425602355318322,0.156820886488216,0.000351347078502306,2019-04-23
"2019","113","whole_amz","sif743_cor_vza45",0.428725959300218,0.151392115238264,0.000330896116094967,2019-04-23
"2019","129","whole_amz","sif743_cor_vza25",0.385114952740427,0.167122323656336,0.000456140197784762,2019-05-09
"2019","129","whole_amz","sif743_cor_vza35",0.392372181079498,0.160512198307556,0.000397038710542923,2019-05-09
"2019","129","whole_amz","sif743_cor_vza45",0.397925170527317,0.155554960829968,0.000363698406822909,2019-05-09
"2019","145","whole_amz","sif743_cor_vza25",0.415653793008143,0.162077831708315,0.000421624726932373,2019-05-25
"2019","145","whole_amz","sif743_cor_vza35",0.420332309778636,0.154955182016268,0.000372372242244826,2019-05-25
"2019","145","whole_amz","sif743_cor_vza45",0.422834581496281,0.149850992893853,0.000342380859508245,2019-05-25
"2019","161","whole_amz","sif743_cor_vza25",0.409073215210777,0.154029812735649,0.000378592213223616,2019-06-10
"2019","161","whole_amz","sif743_cor_vza35",0.41082495430994,0.147590420437272,0.000341365658320176,2019-06-10
"2019","161","whole_amz","sif743_cor_vza45",0.411082565504152,0.142623248860267,0.000317629891276379,2019-06-10
"2019","177","whole_amz","sif743_cor_vza25",0.410833574503581,0.168830466327614,0.000430045368966877,2019-06-26
"2019","177","whole_amz","sif743_cor_vza35",0.410552347371089,0.161899016128866,0.000380101194464702,2019-06-26
"2019","177","whole_amz","sif743_cor_vza45",0.406109463440174,0.154254722690255,0.000345645469459293,2019-06-26
"2019","193","whole_amz","sif743_cor_vza25",0.424736075892354,0.177570001002607,0.000424789165675732,2019-07-12
"2019","193","whole_amz","sif743_cor_vza35",0.419654269350432,0.164016662448047,0.00036871737538227,2019-07-12
"2019","193","whole_amz","sif743_cor_vza45",0.415414016065295,0.153906766287881,0.000336088243265073,2019-07-12
"2019","209","whole_amz","sif743_cor_vza25",0.415779503557438,0.162827245457788,0.000385625744116796,2019-07-28
"2019","209","whole_amz","sif743_cor_vza35",0.408500441574383,0.159414132427398,0.00035416007175677,2019-07-28
