"georeg","truedate","mean_sif743_corj","se_sif743_corj","mean_sif743j","se_sif743j","mean_sifparj","se_sifparj","mean_sifsparj","se_sifsparj","doymin","ndsif"
"NOA",2020-04-22,0.470366856044671,0.000831324016958427,1.35320275816084,0.00238470209755164,5.86600843194173e-07,1.59362879359879e-09,1.68834203744519e-06,4.57259688998011e-09,113,37908
"NOA",2020-05-08,0.504850272889704,0.000871990381411209,1.4369492695727,0.00245375995110248,6.34037046101568e-07,1.36555508094609e-09,1.80635358526051e-06,3.87669160232456e-09,129,39324
"NOA",2020-05-24,0.482919671345476,0.000860826505016979,1.39021195117527,0.00246245138867597,6.06990416647543e-07,1.3249650872148e-09,1.74633644909067e-06,3.79396370442547e-09,145,32423
"NOA",2020-06-09,0.493978267687806,0.000833178753921149,1.42216190921399,0.00238145721238084,6.639799614638e-07,1.63429519736384e-09,1.91271570854007e-06,4.70547215821689e-09,161,36248
"NOA",2020-06-25,0.48067867032908,0.000776569768245108,1.39065818731451,0.00223345686907513,6.0167259225348e-07,1.23228776432934e-09,1.74248863067175e-06,3.56763384565993e-09,177,41648
"NOA",2020-07-11,0.487543763101634,0.000835524059382463,1.4179120374027,0.0024174828303601,5.65588699360833e-07,1.29613458191683e-09,1.64561395559744e-06,3.75832102398235e-09,193,37909
"NOA",2020-07-27,0.483009486753377,0.000998227313331735,1.40953434379509,0.00288409744719127,5.96204701776816e-07,1.87218225554323e-09,1.7396010336212e-06,5.42360999430516e-09,209,27870
"NOA",2020-08-12,0.519698980784979,0.000854804489357167,1.5051260426217,0.00244499303792964,5.46111382102433e-07,1.20515911111874e-09,1.58278456663537e-06,3.48667494338708e-09,225,36036
"NOA",2020-08-28,0.51007065582534,0.000837544725690224,1.47398459964567,0.00238383656487531,5.35577658911051e-07,1.04587326368095e-09,1.54877606657017e-06,3.00975846369367e-09,241,39727
"NOA",2020-09-13,0.53407455335618,0.000836941497947038,1.53183932113725,0.00235558050266873,5.42185547253187e-07,9.46613184852003e-10,1.55377272847836e-06,2.66574699103376e-09,257,38851
"NOA",2020-09-29,0.541001697394264,0.000745752641578984,1.54087691835598,0.00208526334894413,5.48230593508686e-07,8.88016783738755e-10,1.56093202329281e-06,2.49794568082083e-09,273,40456
"NOA",2020-10-15,0.567747085221991,0.000741360484595373,1.61115232659217,0.00206314535606379,6.05754903827744e-07,9.98249260996119e-10,1.71881656526302e-06,2.80549267565597e-09,289,40556
"NOA",2020-10-31,0.567009960788753,0.000838613965509053,1.61198124164861,0.00233580133009575,6.4231293632986e-07,1.27585400630429e-09,1.82627838640095e-06,3.59912319134091e-09,305,36625
"NOA",2020-11-16,0.550263845130197,0.000906111455997899,1.56987998017352,0.00253362243344742,6.50958580103595e-07,1.32480248078754e-09,1.85875209064393e-06,3.75085400954321e-09,321,38272
"NOA",2020-12-02,0.500984613246745,0.000808448201399675,1.45132838322624,0.00230165718677682,5.90676698955843e-07,1.1820773638623e-09,1.7120077507226e-06,3.40284504763768e-09,337,38425
"NOA",2020-12-18,0.495563624093684,0.000991376206096308,1.45231829668515,0.00285036351862045,6.08550113813513e-07,1.56700105363661e-09,1.78505660051437e-06,4.56520795904103e-09,353,29313
"NOA",2021-01-01,0.501290789889563,0.000996089225703416,1.48965965194912,0.00290118122277079,6.39557949340912e-07,1.72909853644639e-09,1.90113126137562e-06,5.10198607603448e-09,1,25324
"NOA",2021-01-17,0.581414364495379,0.00231033987760871,1.71544995126451,0.00672134822629262,7.00058885581446e-07,3.79613139541034e-09,2.06813046355333e-06,1.13265535880644e-08,17,6496
"NOA",2021-02-02,0.491619568365827,0.00103350893225603,1.47021043010064,0.00304890548050822,5.78872735455731e-07,1.73449004497179e-09,1.73125657011224e-06,5.1586053219094e-09,33,27416
"NOA",2021-02-18,0.507209778149758,0.00152375875935264,1.51015911882706,0.0044614402615791,5.3921204448142e-07,1.91209378879671e-09,1.6052158489727e-06,5.61589488409135e-09,49,14173
"NOA",2021-03-06,0.567471763619583,0.00126413804464833,1.67165450227002,0.00364983737301314,6.45415073417083e-07,1.82231965311538e-09,1.90188842722895e-06,5.31476622059083e-09,65,25375
"NOA",2021-03-22,0.461814704891394,0.00140346572565961,1.35088853992732,0.00404943027988032,5.30530791072585e-07,1.91047616994892e-09,1.5515693338397e-06,5.52258097859176e-09,81,15980
"NOA",2021-04-07,0.482404825238103,0.00153915716374416,1.39066792734769,0.00436266492737432,5.18487425424236e-07,1.78606375719042e-09,1.49546906313149e-06,5.08621068430674e-09,97,16937
"NOA",2021-04-23,0.459335181639175,0.00111293229166694,1.32272755588175,0.00316893075163293,5.80792557705183e-07,2.1175733009298e-09,1.67210152821661e-06,6.07560226068469e-09,113,21966
"NOA",2021-05-09,0.472754778585026,0.000953584916872635,1.35473585027234,0.00271119865642029,5.76741343382075e-07,1.37782191342429e-09,1.65391329534099e-06,3.9400846174382e-09,129,28650
"NOA",2021-05-25,0.469287734209049,0.000956559986008791,1.34606827310751,0.0027329366799254,5.73587485173469e-07,1.39590048369314e-09,1.64601580966755e-06,3.98961232487972e-09,145,28670
"NOA",2021-06-10,0.467539282900101,0.000789654266619131,1.34853255949171,0.00226515179786289,5.58562051939896e-07,1.28090182929919e-09,1.61112269076279e-06,3.66945444867653e-09,161,36144
"NOA",2021-06-26,0.487070904553559,0.000882713103610686,1.41425649375736,0.00253431992310415,5.85028741238694e-07,1.29295884174014e-09,1.69872970574042e-06,3.716718388254e-09,177,30426
"NOA",2021-07-12,0.515135176963539,0.000927587905305654,1.49751518019213,0.00266777074994712,6.35128570532216e-07,1.60177781602796e-09,1.84684836017169e-06,4.63020917149334e-09,193,31040
"NOA",2021-07-28,0.520771243310235,0.000964154769399704,1.51980435286321,0.00277528090735884,6.14912797012058e-07,1.47536532197916e-09,1.79473753791466e-06,4.27831169010737e-09,209,27784
"NOA",2021-08-13,0.517183092644999,0.000866098791911757,1.50886780302224,0.00249524355042225,5.49001733424788e-07,1.0775299088848e-09,1.60201958981438e-06,3.10772395704473e-09,225,35499
"NOA",2021-08-29,0.558021250246802,0.000927303338454544,1.61604614538152,0.00263957584933174,6.00744817787008e-07,1.23377450672049e-09,1.74000337674093e-06,3.53945528342342e-09,241,34906
"NOA",2021-09-14,0.527124482262777,0.000789269932564311,1.5210090305976,0.00223359923547512,5.34204713558704e-07,9.24930023391149e-10,1.54116927144878e-06,2.61507319615977e-09,257,35037
"NOA",2021-09-30,0.549482831202876,0.000835805483910863,1.56794216328393,0.00231776085186238,5.58370706792977e-07,1.07231906485068e-09,1.59407919205658e-06,3.00709556508499e-09,273,35947
"NOA",2021-10-16,0.554336153549151,0.000868873977352245,1.5746823193263,0.00241041490014564,6.03844505725907e-07,1.28086780655745e-09,1.71480304606481e-06,3.58155255917887e-09,289,34381
"NOA",2021-11-01,0.56687367385442,0.000855770143638974,1.60770090451754,0.00237040232583241,6.43362597061116e-07,1.32651262378268e-09,1.82539836230596e-06,3.71727748403928e-09,305,37554
"NOA",2021-11-17,0.552084484154492,0.00100759764093124,1.58008793210471,0.00281295618275978,6.57435562587952e-07,1.53793441725695e-09,1.88093009260583e-06,4.3586293657192e-09,321,29295
"NOA",2021-12-03,0.507245126208357,0.00105883508904724,1.4673105730662,0.00297917573819965,6.42389703361216e-07,1.82153825912755e-09,1.85873982989337e-06,5.18099579842516e-09,337,30888
"NOA",2021-12-19,0.50056202991975,0.0011227991935765,1.47133329882552,0.00322407398633465,6.02594114612191e-07,1.56135042339444e-09,1.77250904181535e-06,4.52269408877988e-09,353,23632
"CA",2019-01-01,0.456733450618727,0.000958403498134189,1.3093497942762,0.00269971333415617,5.36084165990524e-07,1.60125393659494e-09,1.5368879239967e-06,4.54997169348353e-09,1,29483
"CA",2019-01-17,0.452606935585533,0.000978201534079684,1.31106174200902,0.00278954984140586,5.68041720488954e-07,1.81296113453774e-09,1.64521627545986e-06,5.20786712786829e-09,17,28508
"CA",2019-02-02,0.461638521257966,0.000997970046335112,1.34654034101497,0.0028700669335341,5.3161123989071e-07,1.62562744033718e-09,1.5507337554437e-06,4.69835339657318e-09,33,27362
"CA",2019-02-18,0.396850805440304,0.00091381467922703,1.1648884129315,0.00264321646425705,4.40132566923122e-07,1.32458697981155e-09,1.29107214262037e-06,3.83872749226416e-09,49,30128
"CA",2019-03-06,0.41090357387641,0.000899639607138677,1.20281275150411,0.002598095981628,4.8886238888617e-07,1.76282790791818e-09,1.43114866504472e-06,5.15621992299203e-09,65,30614
"CA",2019-03-22,0.419473308140776,0.00091864190328387,1.21668470235618,0.00262520526141183,4.58814020786026e-07,1.16128606797857e-09,1.33195638616478e-06,3.3539140763501e-09,81,30174
"CA",2019-04-07,0.362197794030878,0.000808041341674856,1.04508921370561,0.00230879318374466,4.38257061983223e-07,1.33452575501011e-09,1.26469564821561e-06,3.84816730466591e-09,97,29965
"CA",2019-04-23,0.409117314555663,0.000725358616153226,1.17972738784837,0.00207310447978035,5.09274275767761e-07,1.42511107501626e-09,1.46789183621285e-06,4.08504140049997e-09,113,33653
"CA",2019-05-09,0.369916654259164,0.00111289444022501,1.06755707421299,0.00320227615817431,5.01299117652883e-07,2.0106185092416e-09,1.44734416275629e-06,5.80570175119406e-09,129,19796
"CA",2019-05-25,0.412464164400668,0.00102188149253192,1.1949419053542,0.00295224612181431,5.59116179218594e-07,1.73540361218671e-09,1.62010895360296e-06,5.02056516460882e-09,145,20603
"CA",2019-06-10,0.406222662041311,0.000790444579502163,1.18931727244314,0.00229934974642983,5.17418586256404e-07,1.36466458170491e-09,1.51436537734952e-06,3.97087854776785e-09,161,28103
"CA",2019-06-26,0.403138270039686,0.000871520111629479,1.18611442300303,0.00254176789730025,5.06847124255368e-07,1.42221885833797e-09,1.49064145635785e-06,4.13879999305935e-09,177,27218
"CA",2019-07-12,0.420105614192131,0.000749760464013452,1.23744627665388,0.00220099199257407,4.89740484248066e-07,1.21258000907812e-09,1.44198033010095e-06,3.53392970421531e-09,193,32296
"CA",2019-07-28,0.410195500123491,0.000731180112515312,1.20220735619964,0.00214900383947836,4.68883834276786e-07,1.01156605052427e-09,1.3734037108366e-06,2.94462504457756e-09,209,30125
"CA",2019-08-13,0.403452297689405,0.000658204668433296,1.17970326693986,0.00191910078106962,4.59378996474095e-07,1.12946018055927e-09,1.34203843937481e-06,3.23982223888175e-09,225,34421
